time_id;nome_time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24
28448371;AcessoNegado FC;Yuri Alberto|0,70;Flaco López|4,90;Flaco López|-0,60;Carlos Vinícius|0,20;Carlos Vinícius|12,70;Carlos Vinícius|0,80;Amuzu|11,50;Amuzu|0,80;Amuzu|2,40;Amuzu|10,60;Mendoza|12,00;Pedro|7,90;Viveros|21,10;Flaco López|7,80;Flaco López|4,40;Neymar|3,90;Neymar|0,00;Pedro|20,40;Yuri Alberto|19,90;Carlos Vinícius|3,50;Yuri Alberto|3,50;Yuri Alberto|0,00;Yuri Alberto|0,00;Flaco López|3,00
47807789;ACTIVA EXPRESS F C;Reinaldo|0,80;Andreas Pereira|16,50;Hulk|14,70;Rony|2,20;Luciano|9,80;Flaco López|12,70;Nathan Fogaça|0,70;Andrés Gómez|8,30;Kaio Jorge|8,80;Everaldo|3,00;Mendoza|12,00;Andrés Gómez|16,90;Luciano|11,80;Luciano|1,20;Flaco López|4,40;Flaco López|5,90;Carlos Vinícius|16,90;Carlos Vinícius|2,00;Pedro|18,80;Pedro|1,70;Samuel Lino|10,20;Kaio Jorge|8,50;Carbonero|12,00;Flaco López|3,00
28174756;Adm's Liga Falcões do Cartola;Renato Kayzer|10,40;Kaio Jorge|4,90;Hulk|14,70;Carlos Vinícius|0,20;Calleri|12,10;Flaco López|12,70;Pedro|0,00;Andrés Gómez|8,30;Flaco López|3,50;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Arthur Cabral|2,40;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Viveros|19,20;Yuri Alberto|3,50;Samuel Lino|7,40;Viveros|7,40;Neymar|0,00
48377946;Alcalyon ;Willian José|9,50;Lucas Paquetá|5,60;Vitor Roque|14,00;Carlos Vinícius|0,20;Carlos Vinícius|12,70;Flaco López|12,70;Neymar|9,40;Pedro|6,10;Neymar|7,80;Carlos Vinícius|2,80;Neymar|5,30;Pedro|7,90;Canobbio|10,40;Pedro|11,80;Flaco López|4,40;Pedro|8,80;Viveros|17,40;Viveros|10,90;Pedro|18,80;Neymar|22,80;Arrascaeta|1,80;Flaco López|0,50;Neymar|8,40;Neymar|0,00
49359599;Aquila(tricolor)1993;Borré|2,40;Andrés Gómez|13,10;Hulk|14,70;Vitor Roque|21,20;Calleri|12,10;Flaco López|12,70;Pedro|0,00;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Calleri|2,70;Arthur Cabral|2,40;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Gabriel|2,00;Yuri Alberto|3,50;Kaio Jorge|8,50;Viveros|7,40;Neymar|0,00
1021009;Aranha Timão;Eduardo Sasha|3,90;Kaio Jorge|4,90;Hulk|14,70;Carbonero|1,20;Calleri|12,10;Flaco López|12,70;Pedro|0,00;Andrés Gómez|8,30;Flaco López|3,50;Carlos Vinícius|2,80;Viveros|11,40;Flaco López|3,80;Canobbio|10,40;Pedro|11,80;Pedro|0,40;Viveros|9,10;Luciano|7,00;Viveros|10,90;Pedro|18,80;Viveros|19,20;Yuri Alberto|3,50;Kaio Jorge|8,50;Viveros|7,40;Neymar|0,00
944071;Araraquara c1ube;Alan Patrick|3,00;Kaio Jorge|4,90;Hulk|14,70;Calleri|2,70;Memphis Depay|-0,10;Flaco López|12,70;Willian José|5,20;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Neymar|5,30;Flaco López|3,80;Viveros|21,10;Viveros|1,60;Flaco López|4,40;Neymar|3,90;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Viveros|19,20;Samuel Lino|10,20;Kaio Jorge|8,50;Viveros|7,40;Hulk|14,80
29223116;Atlético di Ferrari's;Borré|2,40;Kaio Jorge|4,90;Kaio Jorge|9,20;Borré|2,90;Calleri|12,10;Canobbio|10,40;Pedro|0,00;Andrés Gómez|8,30;Kaio Jorge|8,80;Carlos Vinícius|2,80;Viveros|11,40;Arthur Cabral|2,10;Canobbio|10,40;Matheus Martins|6,50;Pedro|0,40;Pedro|8,80;Pedro|2,10;Viveros|10,90;Pedro|18,80;Viveros|19,20;Samuel Lino|10,20;Kaio Jorge|8,50;Samuel Lino|11,90;Vitor Roque|4,30
748095;AVATAR DU;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Luciano|9,80;Matheus Pereira|2,30;Pedro|0,00;Andrés Gómez|8,30;Neymar|7,80;Arrascaeta|1,80;Viveros|11,40;Arias|1,20;Viveros|21,10;Pedro|11,80;Flaco López|4,40;Flaco López|5,90;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Neymar|22,80;Pedro|1,90;Pedro Rocha|9,60;Viveros|7,40;Canobbio|3,90
7284346;Avatarzinho;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Luciano|9,80;Matheus Pereira|2,30;Pedro|0,00;Andrés Gómez|8,30;Neymar|7,80;Arrascaeta|1,80;Viveros|11,40;Arias|1,20;Viveros|21,10;Pedro|11,80;Flaco López|4,40;Flaco López|5,90;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Neymar|22,80;Pedro|1,90;Pedro Rocha|9,60;Viveros|7,40;Canobbio|3,90
