posicao;time;pontos;rodadas;time_id
1;Sport Club Pé Torto;437,85;28;3507811
2;Benfica Portugal;428,40;28;25377957
3;We have Mundial ;418,05;28;44815245
4;Estopim;417,30;28;25279461
5;GARCIA_SCCP_1910;409,95;28;26507394
6;zeca do gueto;404,55;28;27264592
7;AVATAR DU;400,95;28;748095
8;Avatarzinho;400,95;28;7284346
9;CamargoLeme FC;393,75;28;14377797
10;MOUSE FUTEBOL E CATCHUP;393,75;28;18988681
11;Só de boa FC;391,35;28;67773
12;ACTIVA EXPRESS F C;381,45;28;47807789
13;Bruno Cavalo FC;379,80;28;2965879
14;Alcalyon ;379,05;28;48377946
15;Barcelusa 2022;376,50;28;28698884
16;PegaessepasseF.C.;376,35;28;29031465
17;Aranha Timão;374,40;28;1021009
18;Estat_FC;373,95;28;14994410
19;Don Cartolone F.C.;372,75;28;4004636
20;JOJOBA1976 ;372,60;28;47656429
21;Wife's Team;371,10;28;2238
22;ParmeirinhaFCBr;368,40;28;22247745
23;PegCa;363,45;28;2864056
24;Aquila(tricolor)1993;363,15;28;49359599
25;Vipper Team;362,70;28;1975
26;Vicentis.Vangogh FC;362,40;28;27705915
27;PUROMALTISS F.S;360,60;28;336993
28;Mik@ Pedroso fc;356,85;28;51044905
29;Tuliooo Futebol Clube.....;356,10;28;698601
30;BruxoVerde;352,95;28;84327
31;Araraquara c1ube;351,00;28;944071
32;FAMÍLIA SAÚDE FC;349,35;28;796608
33;LOUCOS POR PINGA F.C;344,55;28;2159340
34;ZekaLhp FC;339,75;28;29279489
35;Atlético di Ferrari's;339,00;28;29223116
36;Corsa de Vigo 2017;336,60;28;28650856
37;mikatuba fc;334,95;28;25276259
38;Vila Clara City R11;328,50;28;806949
39;Masayuki Tateoka FC;326,70;28;13955378
40;mansaoDosBons;320,25;28;9391447
41;Ziquiriguidum FC;318,60;28;2978538
42;Monster Fut F.C;313,80;28;2529723
43;AcessoNegado FC;304,80;28;28448371
44;Canalhas Jabaquara F.C.;300,90;28;5374749
45;Febre do Porco;296,55;28;13910119
46;Suely68;279,90;28;50270999
47;Os Cozidos Do Jabuca Tradicao Cartoleiro;233,70;28;50263746
48;Sc Vai segurando -0.23 tradição malandro;222,90;28;499851
49;Vila Campestre 1987;196,35;28;29995515
50;Pelé é gol de videogame ;57,45;28;28045697
