posicao;time;pontos;media;rodadas;time_id
1;BruxoVerde;2005,63;87,20;23;84327
2;Tuliooo Futebol Clube.....;1982,75;86,21;23;698601
3;Estat_FC;1973,08;85,79;23;14994410
4;Benfica Portugal;1959,75;85,21;23;25377957
5;Mik@ Pedroso fc;1956,69;85,07;23;51044905
6;CamargoLeme FC;1945,57;84,59;23;14377797
7;MOUSE FUTEBOL E CATCHUP;1917,49;83,37;23;18988681
8;Aquila(tricolor)1993;1901,13;82,66;23;49359599
9;Ziquiriguidum FC;1895,67;82,42;23;2978538
10;Só de boa FC;1887,30;82,06;23;67773
11;Bruno Cavalo FC;1883,15;81,88;23;2965879
12;Vicentis.Vangogh FC;1875,34;81,54;23;27705915
13;Corsa de Vigo 2017;1874,97;81,52;23;28650856
14;mikatuba fc;1874,51;81,50;23;25276259
15;Wife's Team;1871,69;81,38;23;2238
16;Barcelusa 2022;1866,94;81,17;23;28698884
17;Estopim;1865,80;81,12;23;25279461
18;Vipper Team;1862,44;80,98;23;1975
19;zeca do gueto;1858,27;80,79;23;27264592
20;Masayuki Tateoka FC;1849,01;80,39;23;13955378
21;Aranha Timão;1840,51;80,02;23;1021009
22;PegCa;1839,51;79,98;23;2864056
23;Araraquara c1ube;1834,44;79,76;23;944071
24;Sport Club Pé Torto;1830,22;79,57;23;3507811
25;Don Cartolone F.C.;1816,72;78,99;23;4004636
26;ZekaLhp FC;1816,37;78,97;23;29279489
27;AVATAR DU;1815,26;78,92;23;748095
28;We have Mundial ;1814,11;78,87;23;44815245
29;LOUCOS POR PINGA F.C;1805,95;78,52;23;2159340
30;ParmeirinhaFCBr;1804,41;78,45;23;22247745
31;Avatarzinho;1781,56;77,46;23;7284346
32;PUROMALTISS F.S;1777,93;77,30;23;336993
33;GARCIA_SCCP_1910;1775,44;77,19;23;26507394
34;Alcalyon ;1772,17;77,05;23;48377946
35;Atlético di Ferrari's;1746,49;75,93;23;29223116
36;PegaessepasseF.C.;1742,62;75,77;23;29031465
37;Canalhas Jabaquara F.C.;1727,70;75,12;23;5374749
38;Febre do Porco;1709,97;74,35;23;13910119
39;ACTIVA EXPRESS F C;1699,77;73,90;23;47807789
40;Monster Fut F.C;1687,41;73,37;23;2529723
41;Vila Clara City R11;1681,19;73,10;23;806949
42;Suely68;1675,18;72,83;23;50270999
43;JOJOBA1976 ;1655,82;71,99;23;47656429
44;Os Cozidos Do Jabuca Tradicao Cartoleiro;1595,66;69,38;23;50263746
45;FAMÍLIA SAÚDE FC;1574,43;68,45;23;796608
46;mansaoDosBons;1554,37;67,58;23;9391447
47;AcessoNegado FC;1451,89;63,13;23;28448371
48;Sc Vai segurando -0.23 tradição malandro;1199,47;52,15;23;499851
49;Vila Campestre 1987;1038,03;45,13;23;29995515
50;Pelé é gol de videogame ;717,10;31,18;23;28045697
