posicao;time;pontos;media;rodadas;time_id
1;Araraquara c1ube;277,63;92,54;3;944071
2;Vicentis.Vangogh FC;274,88;91,63;3;27705915
3;Wife's Team;274,43;91,48;3;2238
4;Mik@ Pedroso fc;273,18;91,06;3;51044905
5;Real Memphis SCCP;269,43;89,81;3;25311310
6;Vipper Team;269,28;89,76;3;1975
7;Tuliooo Futebol Clube.....;266,96;88,99;3;698601
8;PegCa;264,78;88,26;3;2864056
9;CamargoLeme FC;264,38;88,13;3;14377797
10;De Marinha F.C;263,06;87,69;3;2696056
11;PegaessepasseF.C.;261,60;87,20;3;29031465
12;LOUCOS POR PINGA F.C;259,13;86,38;3;2159340
13;zeca do gueto;257,91;85,97;3;27264592
14;Ziquiriguidum FC;257,44;85,81;3;2978538
15;LeomachadoSC;257,03;85,68;3;44775176
16;BruxoVerde;256,93;85,64;3;84327
17;Oozma Kappa Ror FC;255,98;85,33;3;7939743
18;Bruno Cavalo FC;254,66;84,89;3;2965879
19;Estat_FC;251,34;83,78;3;14994410
20;Atlético di Ferrari's;248,40;82,80;3;29223116
21;Um time que não tem nome F.c.;245,88;81,96;3;18600106
22;MOUSE FUTEBOL E CATCHUP;245,67;81,89;3;18988681
23;Adm's Liga Falcões do Cartola;244,53;81,51;3;28174756
24;Barcelusa 2022;243,88;81,29;3;28698884
25;Aquila(tricolor)1993;242,88;80,96;3;49359599
26;Só de boa FC;242,24;80,75;3;67773
27;GARCIA_SCCP_1910;241,32;80,44;3;26507394
28;ROLF - SP23;241,06;80,35;3;7065998
29;Roberta Inocêncio F. C.;239,38;79,79;3;28029518
30;Sport Club Pé Torto;239,38;79,79;3;3507811
31;mika Do pedroso fc;235,93;78,64;3;8627629
32;Vila Clara City R11;235,38;78,46;3;806949
33;Monster Fut F.C;231,38;77,13;3;2529723
34;Don Cartolone F.C.;227,23;75,74;3;4004636
35;Masayuki Tateoka FC;227,03;75,68;3;13955378
36;E.C. Pedro Riva;226,27;75,42;3;29144677
37;JOJOBA1976 ;226,21;75,40;3;47656429
38;ACTIVA EXPRESS F C;221,79;73,93;3;47807789
39;Timão RIVA UFC;218,31;72,77;3;302297
40;Suely68;216,74;72,25;3;50270999
41;robson gigante da colina.fc;216,57;72,19;3;3371353
42;mikatuba fc;213,08;71,03;3;25276259
43;sapo59@;209,56;69,85;3;48497302
44;JUVENIL 15;206,77;68,92;3;3167098
45;ParmeirinhaFCBr;206,41;68,80;3;22247745
46;Febre do Porco;203,21;67,74;3;13910119
47;FAMÍLIA SAÚDE FC;197,42;65,81;3;796608
48;Bruno Cavalofc;195,64;65,21;3;29269714
49;PUROMALTISS F.S;186,03;62,01;3;336993
50;Os Cozidos Do Jabuca Tradicao Cartoleiro;173,25;57,75;3;50263746
