posicao;time;patrimonio;rodada;time_id
1;BruxoVerde;185,05;25;84327
2;Suely68;185,01;25;50270999
3;Estat_FC;169,41;25;14994410
4;zeca do gueto;163,97;25;27264592
5;Tuliooo Futebol Clube.....;161,79;25;698601
6;AVATAR DU;160,08;25;748095
7;Bruno Cavalo FC;160,06;25;2965879
8;MOUSE FUTEBOL E CATCHUP;157,96;25;18988681
9;Avatarzinho;156,73;25;7284346
10;Vicentis.Vangogh FC;156,18;25;27705915
11;Benfica Portugal;155,81;25;25377957
12;Wife's Team;155,18;25;2238
13;Ziquiriguidum FC;154,22;25;2978538
14;We have Mundial ;154,02;25;44815245
15;Vipper Team;153,83;25;1975
16;LOUCOS POR PINGA F.C;153,75;25;2159340
17;PegCa;153,73;25;2864056
18;CamargoLeme FC;152,53;25;14377797
19;Mik@ Pedroso fc;152,36;25;51044905
20;Masayuki Tateoka FC;151,62;25;13955378
21;Estopim;150,62;25;25279461
22;Barcelusa 2022;150,52;25;28698884
23;ZekaLhp FC;149,88;25;29279489
24;Aranha Timão;149,63;25;1021009
25;Sport Club Pé Torto;148,96;25;3507811
26;Os Cozidos Do Jabuca Tradicao Cartoleiro;148,68;25;50263746
27;Araraquara c1ube;147,25;25;944071
28;Aquila(tricolor)1993;147,14;25;49359599
29;Don Cartolone F.C.;147,12;25;4004636
30;PegaessepasseF.C.;147,12;25;29031465
31;Corsa de Vigo 2017;147,11;25;28650856
32;ParmeirinhaFCBr;145,52;25;22247745
33;mikatuba fc;145,22;25;25276259
34;Canalhas Jabaquara F.C.;141,47;25;5374749
35;Só de boa FC;141,33;25;67773
36;Vila Clara City R11;141,02;25;806949
37;Atlético di Ferrari's;138,61;25;29223116
38;GARCIA_SCCP_1910;138,57;25;26507394
39;Alcalyon ;137,13;25;48377946
40;JOJOBA1976 ;135,34;25;47656429
41;Febre do Porco;134,24;25;13910119
42;PUROMALTISS F.S;131,59;25;336993
43;Monster Fut F.C;130,16;25;2529723
44;ACTIVA EXPRESS F C;129,70;25;47807789
45;AcessoNegado FC;128,79;25;28448371
46;FAMÍLIA SAÚDE FC;115,57;25;796608
47;Sc Vai segurando -0.23 tradição malandro;112,58;25;499851
48;mansaoDosBons;111,84;25;9391447
49;Vila Campestre 1987;99,56;25;29995515
50;Pelé é gol de videogame ;99,49;25;28045697
