mes;posicao;time;pontos;rodadas;situacao;time_id
Agosto;1;ACTIVA EXPRESS F C;114,20;2;parcial;47807789
Agosto;2;Mik@ Pedroso fc;109,56;2;parcial;51044905
Agosto;3;Vipper Team;103,96;2;parcial;1975
Agosto;4;BruxoVerde;102,61;2;parcial;84327
Agosto;5;PegCa;101,76;2;parcial;2864056
Agosto;6;AVATAR DU;101,71;2;parcial;748095
Agosto;7;Bruno Cavalo FC;101,00;2;parcial;2965879
Agosto;8;Wife's Team;100,81;2;parcial;2238
Agosto;9;Avatarzinho;100,41;2;parcial;7284346
Agosto;10;Estat_FC;99,16;2;parcial;14994410
Agosto;11;Sport Club Pé Torto;97,81;2;parcial;3507811
Agosto;12;zeca do gueto;96,71;2;parcial;27264592
Agosto;13;Monster Fut F.C;95,56;2;parcial;2529723
Agosto;14;FAMÍLIA SAÚDE FC;94,70;2;parcial;796608
Agosto;15;JOJOBA1976 ;94,54;2;parcial;47656429
Agosto;16;Benfica Portugal;93,66;2;parcial;25377957
Agosto;17;Vicentis.Vangogh FC;93,06;2;parcial;27705915
Agosto;18;Só de boa FC;92,16;2;parcial;67773
Agosto;19;Estopim;91,76;2;parcial;25279461
Agosto;20;Vila Clara City R11;91,71;2;parcial;806949
Agosto;21;Tuliooo Futebol Clube.....;91,56;2;parcial;698601
Agosto;22;Aquila(tricolor)1993;91,36;2;parcial;49359599
Agosto;23;ParmeirinhaFCBr;91,25;2;parcial;22247745
Agosto;24;Araraquara c1ube;91,01;2;parcial;944071
Agosto;25;ZekaLhp FC;90,41;2;parcial;29279489
Agosto;26;Suely68;90,36;2;parcial;50270999
Agosto;27;Atlético di Ferrari's;89,56;2;parcial;29223116
Agosto;28;Alcalyon ;89,10;2;parcial;48377946
Agosto;29;Aranha Timão;87,41;2;parcial;1021009
Agosto;30;Ziquiriguidum FC;86,26;2;parcial;2978538
Agosto;31;MOUSE FUTEBOL E CATCHUP;85,71;2;parcial;18988681
Agosto;32;AcessoNegado FC;84,20;2;parcial;28448371
Agosto;33;CamargoLeme FC;83,56;2;parcial;14377797
Agosto;34;Canalhas Jabaquara F.C.;83,11;2;parcial;5374749
Agosto;35;We have Mundial ;81,91;2;parcial;44815245
Agosto;36;LOUCOS POR PINGA F.C;81,21;2;parcial;2159340
Agosto;37;mansaoDosBons;81,10;2;parcial;9391447
Agosto;38;GARCIA_SCCP_1910;80,95;2;parcial;26507394
Agosto;39;PegaessepasseF.C.;80,55;2;parcial;29031465
Agosto;40;Barcelusa 2022;78,51;2;parcial;28698884
Agosto;41;mikatuba fc;76,76;2;parcial;25276259
Agosto;42;Os Cozidos Do Jabuca Tradicao Cartoleiro;74,05;2;parcial;50263746
Agosto;43;Masayuki Tateoka FC;73,16;2;parcial;13955378
Agosto;44;PUROMALTISS F.S;72,76;2;parcial;336993
Agosto;45;Corsa de Vigo 2017;72,61;2;parcial;28650856
Agosto;46;Vila Campestre 1987;72,60;2;parcial;29995515
Agosto;47;Febre do Porco;69,80;2;parcial;13910119
Agosto;48;Don Cartolone F.C.;66,16;2;parcial;4004636
Agosto;49;Sc Vai segurando -0.23 tradição malandro;64,22;2;parcial;499851
Agosto;50;Pelé é gol de videogame ;39,85;2;parcial;28045697
