rodada;time;pontos
1;ParmeirinhaFCBr;94,70
2;Tuliooo Futebol Clube.....;104,78
3;BruxoVerde;117,36
4;Estat_FC;111,20
5;Alcalyon ;112,02
6;Os Cozidos Do Jabuca Tradicao Cartoleiro;86,50
7;Estat_FC;94,87
8;PUROMALTISS F.S;98,35
9;LOUCOS POR PINGA F.C;113,14
10;Monster Fut F.C;72,97
11;zeca do gueto;108,76
12;LOUCOS POR PINGA F.C;113,70
13;Mik@ Pedroso fc;131,99
14;PegCa;93,14
15;Aquila(tricolor)1993;72,52
16;Canalhas Jabaquara F.C.;109,65
17;Sport Club Pé Torto;102,45
18;Tuliooo Futebol Clube.....;144,40
19;Wife's Team;141,38
20;Ziquiriguidum FC;124,81
21;Corsa de Vigo 2017;96,70
22;MOUSE FUTEBOL E CATCHUP;53,46
