time_id;nome_time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;total;rodadas
28448371;AcessoNegado FC;51,71;61,40;40,31;63,68;49,37;42,64;52,02;31,00;37,48;59,58;71,08;61,60;93,84;64,85;51,25;69,85;62,77;90,55;117,37;81,83;60,41;69,70;66,10;107,30;92,45;1650,14;25
47807789;ACTIVA EXPRESS F C;55,37;68,74;76,34;36,36;65,29;70,60;62,22;93,45;80,38;51,88;75,98;76,10;106,85;63,85;35,18;85,09;82,45;105,15;94,64;68,93;91,46;86,70;66,67;106,10;112,98;1918,76;25
28174756;Adm's Liga Falcões do Cartola;78,56;93,18;71,06;67,58;88,72;70,52;56,56;79,55;77,29;61,37;95,16;86,10;124,19;53,95;60,43;82,09;85,22;113,05;116,18;105,51;89,35;67,76;81,17;110,07;110,49;2125,11;25
48377946;Alcalyon ;67,71;77,05;74,71;70,05;112,02;62,90;89,97;57,45;76,18;59,17;101,71;69,90;66,04;70,28;50,45;77,59;92,66;101,00;83,67;97,51;66,19;80,90;67,77;114,17;82,19;1969,24;25
49359599;Aquila(tricolor)1993;72,96;72,60;78,56;89,55;80,72;82,11;52,27;75,95;92,44;61,47;104,06;76,40;112,79;52,08;72,52;72,28;78,42;118,45;127,98;98,41;79,95;81,61;65,55;97,37;106,33;2102,83;25
1021009;Aranha Timão;68,71;95,90;90,56;48,18;84,52;76,61;57,77;72,95;78,83;50,97;86,06;63,45;119,44;65,08;55,75;83,60;75,37;98,20;131,78;105,61;79,25;82,46;70,17;131,50;92,63;2065,35;25
944071;Araraquara c1ube;66,45;97,38;84,86;73,40;55,50;73,00;80,77;59,76;93,16;38,29;86,11;98,95;112,29;54,45;60,42;56,98;75,72;108,00;115,38;115,61;92,26;84,76;51,01;107,87;86,87;2029,25;25
29223116;Atlético di Ferrari's;77,30;84,90;62,61;67,73;77,92;73,54;76,47;65,65;73,66;45,25;93,56;48,30;109,54;57,10;52,35;51,86;57,72;106,03;132,10;107,18;90,10;67,71;67,32;95,22;93,83;1934,95;25
748095;AVATAR DU;43,56;78,18;87,16;42,56;70,86;64,75;72,54;76,35;84,04;58,47;91,56;81,95;106,19;57,75;41,82;78,89;69,32;136,25;111,08;108,61;81,75;94,26;76,77;113,17;100,73;2028,57;25
7284346;Avatarzinho;43,56;78,18;87,16;42,56;70,86;64,75;72,54;76,35;71,64;58,47;91,56;81,95;106,19;57,75;41,82;78,09;69,32;136,25;111,08;89,91;81,25;92,96;76,77;113,17;100,73;1994,87;25
