competicao;seed;time_id;nome_time
libertadores;1;84327;BruxoVerde
libertadores;2;14994410;Estat_FC
libertadores;3;698601;Tuliooo Futebol Clube.....
libertadores;4;51044905;Mik@ Pedroso fc
libertadores;5;18988681;MOUSE FUTEBOL E CATCHUP
libertadores;6;14377797;CamargoLeme FC
libertadores;7;25377957;Benfica Portugal
libertadores;8;67773;Só de boa FC
libertadores;9;25276259;mikatuba fc
libertadores;10;49359599;Aquila(tricolor)1993
libertadores;11;28650856;Corsa de Vigo 2017
libertadores;12;13955378;Masayuki Tateoka FC
libertadores;13;2978538;Ziquiriguidum FC
libertadores;14;2965879;Bruno Cavalo FC
libertadores;15;28698884;Barcelusa 2022
libertadores;16;27705915;Vicentis.Vangogh FC
sulamericana;1;25279461;Estopim
sulamericana;2;336993;PUROMALTISS F.S
sulamericana;3;1975;Vipper Team
sulamericana;4;22247745;ParmeirinhaFCBr
sulamericana;5;1021009;Aranha Timão
sulamericana;6;2238;Wife's Team
sulamericana;7;4004636;Don Cartolone F.C.
sulamericana;8;3507811;Sport Club Pé Torto
sulamericana;9;27264592;zeca do gueto
sulamericana;10;944071;Araraquara c1ube
sulamericana;11;44815245;We have Mundial 
sulamericana;12;2864056;PegCa
sulamericana;13;26507394;GARCIA_SCCP_1910
sulamericana;14;29279489;ZekaLhp FC
sulamericana;15;48377946;Alcalyon 
sulamericana;16;13910119;Febre do Porco
sulamericana;17;748095;AVATAR DU
sulamericana;18;2159340;LOUCOS POR PINGA F.C
sulamericana;19;7284346;Avatarzinho
sulamericana;20;29223116;Atlético di Ferrari's
sulamericana;21;5374749;Canalhas Jabaquara F.C.
sulamericana;22;29031465;PegaessepasseF.C.
sulamericana;23;47807789;ACTIVA EXPRESS F C
sulamericana;24;806949;Vila Clara City R11
sulamericana;25;47656429;JOJOBA1976 
sulamericana;26;50270999;Suely68
sulamericana;27;2529723;Monster Fut F.C
sulamericana;28;50263746;Os Cozidos Do Jabuca Tradicao Cartoleiro
sulamericana;29;796608;FAMÍLIA SAÚDE FC
sulamericana;30;9391447;mansaoDosBons
sulamericana;31;28448371;AcessoNegado FC
sulamericana;32;499851;Sc Vai segurando -0.23 tradição malandro
