time_id;nome_time;anual;turno1;turno2
28448371;AcessoNegado FC;X;X;
47807789;ACTIVA EXPRESS F C;X;X;X
28174756;Adm's Liga Falcões do Cartola;;;X
48377946;Alcalyon ;X;;
49359599;Aquila(tricolor)1993;X;X;X
1021009;Aranha Timão;X;;
944071;Araraquara c1ube;X;X;X
29223116;Atlético di Ferrari's;X;X;X
748095;AVATAR DU;X;;
7284346;Avatarzinho;X;;
28698884;Barcelusa 2022;X;X;X
25377957;Benfica Portugal;X;X;
2965879;Bruno Cavalo FC;X;X;X
29269714;Bruno Cavalofc;;;X
84327;BruxoVerde;X;X;X
14377797;CamargoLeme FC;X;X;X
5374749;Canalhas Jabaquara F.C.;X;;
28650856;Corsa de Vigo 2017;X;;
2696056;De Marinha F.C;;;X
4004636;Don Cartolone F.C.;X;X;X
29144677;E.C. Pedro Riva;;;X
14994410;Estat_FC;X;X;X
25279461;Estopim;X;;
796608;FAMÍLIA SAÚDE FC;X;X;X
13910119;Febre do Porco;X;X;X
29005848;fiel Mikimba fc;;X;
26507394;GARCIA_SCCP_1910;X;X;X
47656429;JOJOBA1976 ;X;X;X
3167098;JUVENIL 15;;X;X
44775176;LeomachadoSC;;;X
2159340;LOUCOS POR PINGA F.C;X;;X
9391447;mansaoDosBons;X;;
13955378;Masayuki Tateoka FC;X;X;X
51044905;Mik@ Pedroso fc;X;X;X
8627629;mika Do pedroso fc;;;X
25276259;mikatuba fc;X;X;X
2529723;Monster Fut F.C;X;X;X
18988681;MOUSE FUTEBOL E CATCHUP;X;X;X
7939743;Oozma Kappa Ror FC;;;X
50263746;Os Cozidos Do Jabuca Tradicao Cartoleiro;X;X;X
22247745;ParmeirinhaFCBr;X;X;X
29031465;PegaessepasseF.C.;X;X;X
2864056;PegCa;X;X;X
28045697;Pelé é gol de videogame ;X;X;
336993;PUROMALTISS F.S;X;X;X
25311310;Real Memphis SCCP;;X;X
28029518;Roberta Inocêncio F. C.;;;X
3371353;robson gigante da colina.fc;;X;X
7065998;ROLF - SP23;;X;X
51059653;Rua Alba FS;;X;
48497302;sapo59@;;;X
499851;Sc Vai segurando -0.23 tradição malandro;X;;
67773;Só de boa FC;X;X;X
3507811;Sport Club Pé Torto;X;X;X
50270999;Suely68;X;X;X
302297;Timão RIVA UFC;;;X
698601;Tuliooo Futebol Clube.....;X;X;X
18600106;Um time que não tem nome F.c.;;;X
27705915;Vicentis.Vangogh FC;X;X;X
29995515;Vila Campestre 1987;X;X;
806949;Vila Clara City R11;X;X;X
1975;Vipper Team;X;X;X
44815245;We have Mundial ;X;;
2238;Wife's Team;X;X;X
27264592;zeca do gueto;X;X;X
29279489;ZekaLhp FC;X;;
2978538;Ziquiriguidum FC;X;X;X
