"time_id";"nome_time";"R1";"R2";"R3";"R4";"R5";"R6";"R7";"R8";"R9";"R10";"R11";"R12";"R13";"R14";"R15";"R16";"R17";"R18";"R19";"R20";"R21"
"28448371";"AcessoNegado FC";"Yuri Alberto|0.7";"Flaco López|4.9";"Flaco López|-0.6";"Carlos Vinícius|0.2";"Carlos Vinícius|12.7";"Carlos Vinícius|0.8";"Amuzu|11.5";"Amuzu|0.8";"Amuzu|2.4";"Amuzu|10.6";"Mendoza|12";"Pedro|7.9";"Viveros|21.1";"Flaco López|7.8";"Flaco López|4.4";"Neymar|3.9";"Neymar|0";"Pedro|20.4";"Yuri Alberto|19.9";"Carlos Vinícius|3.5";"Yuri Alberto|3.5"
"47807789";"ACTIVA EXPRESS F C";"Reinaldo|0.8";"Andreas Pereira|16.5";"Hulk|14.7";"Rony|2.2";"Luciano|9.8";"Flaco López|12.7";"Nathan Fogaça|0.7";"Andrés Gómez|8.3";"Kaio Jorge|8.8";"Everaldo|3";"Mendoza|12";"Andrés Gómez|16.9";"Luciano|11.8";"Luciano|1.2";"Flaco López|4.4";"Flaco López|5.9";"Carlos Vinícius|16.9";"Carlos Vinícius|2";"Pedro|18.8";"Pedro|1.7";"Samuel Lino|10.2"
"28174756";"Adm's Liga Falcões do Cartola";"Renato Kayzer|10.4";"Kaio Jorge|4.9";"Hulk|14.7";"Carlos Vinícius|0.2";"Calleri|12.1";"Flaco López|12.7";"Pedro|0";"Andrés Gómez|8.3";"Flaco López|3.5";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Viveros|21.1";"Arthur Cabral|2.4";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Viveros|19.2";"Yuri Alberto|3.5"
"48377946";"Alcalyon ";"Willian José|9.5";"Lucas Paquetá|5.6";"Vitor Roque|14";"Carlos Vinícius|0.2";"Carlos Vinícius|12.7";"Flaco López|12.7";"Neymar|9.4";"Pedro|6.1";"Neymar|7.8";"Carlos Vinícius|2.8";"Neymar|5.3";"Pedro|7.9";"Canobbio|10.4";"Pedro|11.8";"Flaco López|4.4";"Pedro|8.8";"Viveros|17.4";"Viveros|10.9";"Pedro|18.8";"Neymar|22.8";"Arrascaeta|1.8"
"49359599";"Aquila(tricolor)1993";"Borré|2.4";"Andrés Gómez|13.1";"Hulk|14.7";"Vitor Roque|21.2";"Calleri|12.1";"Flaco López|12.7";"Pedro|0";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Pedro|7.9";"Calleri|2.7";"Arthur Cabral|2.4";"Flaco López|4.4";"Neymar|3.9";"Pedro|2.1";"Pedro|20.4";"Pedro|18.8";"Gabriel|2";"Yuri Alberto|3.5"
"1021009";"Aranha Timão";"Eduardo Sasha|3.9";"Kaio Jorge|4.9";"Hulk|14.7";"Carbonero|1.2";"Calleri|12.1";"Flaco López|12.7";"Pedro|0";"Andrés Gómez|8.3";"Flaco López|3.5";"Carlos Vinícius|2.8";"Viveros|11.4";"Flaco López|3.8";"Canobbio|10.4";"Pedro|11.8";"Pedro|0.4";"Viveros|9.1";"Luciano|7";"Viveros|10.9";"Pedro|18.8";"Viveros|19.2";"Yuri Alberto|3.5"
"944071";"Araraquara c1ube";"Alan Patrick|3";"Kaio Jorge|4.9";"Hulk|14.7";"Calleri|2.7";"Memphis Depay|-0.1";"Flaco López|12.7";"Willian José|5.2";"Andrés Gómez|8.3";"Neymar|7.8";"Carlos Vinícius|2.8";"Neymar|5.3";"Flaco López|3.8";"Viveros|21.1";"Viveros|1.6";"Flaco López|4.4";"Neymar|3.9";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Viveros|19.2";"Samuel Lino|10.2"
"29223116";"Atlético di Ferrari's";"Borré|2.4";"Kaio Jorge|4.9";"Kaio Jorge|9.2";"Borré|2.9";"Calleri|12.1";"Canobbio|10.4";"Pedro|0";"Andrés Gómez|8.3";"Kaio Jorge|8.8";"Carlos Vinícius|2.8";"Viveros|11.4";"Arthur Cabral|2.1";"Canobbio|10.4";"Matheus Martins|6.5";"Pedro|0.4";"Pedro|8.8";"Pedro|2.1";"Viveros|10.9";"Pedro|18.8";"Viveros|19.2";"Samuel Lino|10.2"
"748095";"AVATAR DU";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Luciano|9.8";"Matheus Pereira|2.3";"Pedro|0";"Andrés Gómez|8.3";"Neymar|7.8";"Arrascaeta|1.8";"Viveros|11.4";"Arias|1.2";"Viveros|21.1";"Pedro|11.8";"Flaco López|4.4";"Flaco López|5.9";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Neymar|22.8";"Pedro|1.9"
"7284346";"Avatarzinho";"Borré|2.4";"Kaio Jorge|4.9";"Hulk|14.7";"Kaio Jorge|1.4";"Luciano|9.8";"Matheus Pereira|2.3";"Pedro|0";"Andrés Gómez|8.3";"Neymar|7.8";"Arrascaeta|1.8";"Viveros|11.4";"Arias|1.2";"Viveros|21.1";"Pedro|11.8";"Flaco López|4.4";"Flaco López|5.9";"Kaio Jorge|9.7";"Viveros|10.9";"Pedro|18.8";"Neymar|22.8";"Pedro|1.9"
